id,age,rs,WtKg,totalwives
2277,27,0,31,0
8,48,4,35,1
2326,19,0,37.5,1
2321,68,0,39,1
2042,28,1,39.5,1
2278,20,0,39.5,1
653,56,3,40,2
2285,35,3,40,2
44,55,8,40.5,3
2002,22,0,40.5,3
85,51,5,41,3
2050,55,1,41,3
307,35,5,42,1
402,50,5,42,2
2264,73,5,42,1
17,41,2,42.5,2
2195,26,0,42.5,1
100,65,6,44,2
114,41,6,44,2
2026,65,3,44,1
2036,67,3,44,1
2039,22,1,44,2
626,30,2,44.5,1
2306,28,1,44.5,1
910,48,0,45,2
915,58,9,45,5
635,22,0,45,2
686,38,6,45,4
2100,34,3,45,1
2129,32,0,45,2
2257,75,0,45,2
2273,30,2,45.5,2
33,57,4,46,1
2291,20,0,46.5,1
420,27,0,47,1
678,43,6,47,2
2151,39,2,47,2
2182,25,0,47,1
2119,42,4,47.5,3
2167,62,0,47.5,1
2200,48,4,47.5,2
2203,50,6,47.5,2
2260,30,3,47.5,1
418,42,4,48,2
2052,25,0,48,1
83,28,0,48.5,2
604,23,1,48.5,1
2145,35,2,48.5,2
2179,21,0,48.5,1
21,25,0,49,2
602,38,5,49,2
2113,37,0,49,3
2126,44,2,49,2
336,33,1,49.5,5
2314,27,0,49.5,1
72,53,5,50,1
133,55,5,50,1
600,52,5,50,1
618,33,5,50,2
2016,52,3,50,2
2296,45,2,50,1
2021,52,5,50.5,2
2060,20,0,51,1
2189,28,2,51.5,1
2253,28,1,51.5,2
2317,52,0,51.5,2
79,43,3,52,1
2027,38,3,52,3
130,32,1,52.5,1
137,19,0,52.5,1
2005,24,0,52.5,2
2162,44,3,52.5,1
135,30,2,53,2
630,41,4,53.5,3
2138,55,3,53.5,2
2069,42,2,55,2
2105,68,3,55,3
2057,33,2,56,2
2061,21,1,56,1
2136,20,1,56.5,1
2142,60,2,56.5,3
613,36,3,57,2
2272,28,3,57.5,1
2282,32,1,57.5,3
2033,45,7,59,2
2132,35,2,59,2
2229,53,5,59.5,1
2157,40,5,60,2
647,36,1,64,2
