PersonCID,Age,Wives,Rsliving,Transport,Territory
66,41,1,2,2,2
80,50,0,0,2,1
81,52,1,2,2,2
86,25,0,0,2,1
125,49,1,2,2,1
141,69,1,4,2,1
143,37,1,2,2,1
147,36,1,2,2,2
173,46,0,0,0,0
255,41,1,2,1,0
276,41,1,0,2,1
297,83,1,5,0,0
299,37,0,0,0,1
312,21,0,0,0,0
335,52,1,5,2,2
345,32,0,0,2,0
397,58,1,2,2,0
418,31,0,0,0,0
421,56,1,4,2,2
437,41,1,1,0,0
438,62,1,6,1,1
440,30,0,0,2,0
442,23,0,0,0,1
480,54,1,2,0,1
486,59,1,6,0,1
488,32,0,0,2,2
496,27,1,1,0,0
543,47,1,3,2,0
559,50,1,7,2,2
578,50,1,6,2,2
581,23,0,0,0,0
600,42,1,2,0,0
1,35,1,1,2,0
4,46,1,2,0,0
6,23,0,0,0,0
8,57,1,0,0,0
11,33,1,3,1,0
16,22,0,0,0,1
24,28,1,1,0,0
25,38,1,2,2,0
29,31,1,2,0,0
34,21,1,1,0,1
39,20,0,0,0,0
40,51,1,1,0,0
42,51,1,5,2,3
44,25,1,2,2,1
47,32,1,1,0,0
50,28,1,1,0,0
63,30,1,1,0,0
64,43,0,0,0,0
65,34,0,0,0,0
67,40,0,0,2,2
68,36,1,1,2,2
72,74,1,4,0,0
74,29,0,0,0,0
79,28,1,2,0,0
82,70,1,4,0,1
84,32,0,0,0,0
89,44,1,2,2,1
91,26,1,3,2,0
92,24,1,1,2,0
97,23,0,0,0,0
100,42,1,5,0,0
109,40,1,3,0,0
114,42,1,3,2,3
119,35,0,0,0,0
120,49,1,5,0,0
121,26,0,0,0,0
122,22,0,0,0,0
123,20,0,0,0,0
127,21,0,0,0,0
129,40,0,0,0,0
133,28,1,1,0,0
151,40,1,1,2,2
159,21,1,1,0,0
166,22,0,0,0,0
170,43,1,2,1,0
171,24,1,1,0,0
172,22,0,0,0,0
174,38,1,2,0,0
178,34,0,0,0,0
179,24,0,0,0,0
181,37,1,0,0,0
183,22,0,0,0,0
188,51,1,6,0,1
190,26,0,0,0,1
191,23,1,1,0,0
196,67,1,0,0,0
198,77,1,4,0,0
199,40,0,0,2,1
208,29,0,0,0,0
214,45,1,1,0,0
216,64,1,1,0,0
217,28,1,2,0,0
221,25,1,1,0,0
222,23,0,0,0,0
225,42,0,0,1,0
227,25,0,0,0,0
231,36,1,1,0,0
234,53,1,5,2,1
237,24,0,0,0,0
238,23,0,0,0,0
239,22,0,0,0,0
241,68,1,5,2,0
242,36,1,2,0,1
243,34,0,0,0,1
244,30,1,1,0,0
246,27,0,0,0,1
248,64,1,4,0,0
250,25,0,0,0,0
251,24,0,0,0,0
254,75,0,0,0,0
257,46,1,2,0,1
268,35,1,2,0,0
271,27,0,0,0,0
274,39,0,0,0,0
275,43,0,0,0,1
278,45,1,2,0,2
283,38,1,2,0,0
287,53,1,3,0,0
289,26,1,1,2,0
290,24,0,0,0,0
293,24,0,0,0,0
295,20,1,1,0,0
309,53,1,3,0,0
310,26,1,2,0,0
317,20,0,0,0,0
318,42,0,0,0,0
319,57,0,0,0,1
320,36,1,4,0,1
323,48,1,6,2,2
325,21,0,0,0,1
332,27,0,0,2,1
333,33,0,0,0,0
334,29,1,2,0,0
338,20,0,0,0,1
344,34,1,1,0,0
346,27,0,0,0,0
347,27,0,0,0,0
348,40,0,0,0,0
349,50,1,2,0,1
351,21,0,0,0,0
356,45,1,2,0,0
360,47,1,3,0,1
365,34,1,2,1,0
367,27,0,0,0,0
368,24,0,0,0,0
370,22,0,0,0,0
372,37,1,3,0,0
377,70,1,1,0,0
378,22,0,0,0,0
382,51,0,0,0,0
383,41,0,0,0,0
386,56,1,5,0,0
400,35,1,1,0,1
405,54,1,1,1,0
406,47,1,2,2,0
410,70,1,2,0,0
413,22,0,0,0,0
416,34,1,1,0,0
417,33,0,0,0,0
419,27,1,1,0,0
427,56,1,1,2,2
429,24,0,0,0,0
430,56,1,3,0,0
445,47,0,0,0,0
446,54,1,1,0,1
450,22,0,0,2,1
457,50,1,5,2,2
459,30,0,0,0,0
460,21,1,0,0,0
463,41,0,0,0,0
464,40,0,0,0,0
465,55,1,4,0,0
466,33,0,0,0,0
468,27,0,0,0,0
472,36,0,0,1,0
477,29,1,3,0,0
487,36,1,1,0,0
489,26,1,1,0,1
490,32,1,1,0,0
491,53,0,0,0,0
493,23,1,1,0,0
495,51,1,0,0,0
502,34,0,0,0,0
504,38,1,2,0,1
513,50,1,3,2,0
518,43,0,0,0,0
519,45,1,4,0,0
520,21,0,0,0,0
527,53,1,3,0,0
531,50,1,1,2,0
536,53,1,3,0,0
537,42,1,4,1,0
539,20,0,0,0,0
547,21,0,0,0,0
549,45,1,3,2,1
556,48,1,1,0,0
558,25,0,0,0,0
567,49,1,3,0,0
572,43,1,1,2,1
573,57,1,0,0,0
575,34,0,0,0,0
576,74,1,1,1,0
580,25,0,0,0,0
582,22,0,0,0,0
583,20,0,0,0,0
586,47,1,3,2,1
603,42,1,2,0,0
608,40,1,1,0,0
615,69,1,3,0,0
616,34,1,1,0,0
617,41,1,1,0,0
619,33,0,0,0,0
620,45,1,6,0,1
623,23,1,1,0,0
624,20,0,0,0,0
630,43,1,2,2,2
639,56,1,1,0,0
640,30,0,0,0,0
641,44,1,2,0,1
646,23,1,1,0,0
649,39,1,0,0,0
651,29,1,0,0,0
653,46,1,0,2,0
660,24,0,0,0,0
661,56,1,2,0,1
664,86,1,2,0,0
668,25,0,0,0,0
681,67,4,6,0,0
682,39,1,5,0,1
684,75,1,3,0,0
686,26,0,0,0,0
687,32,1,1,0,0
688,44,0,0,0,0
695,57,0,0,0,0
696,77,0,0,0,0
699,84,0,0,0,0
701,47,1,2,0,0
704,43,1,2,0,0
706,80,1,4,0,0
707,68,1,0,0,0
708,82,0,0,0,0
709,41,0,0,0,0
710,52,1,1,0,0
712,77,1,1,0,0
714,39,0,0,0,0
717,24,0,0,0,0
718,25,0,0,0,0
719,83,1,1,0,0
720,71,0,0,0,0
723,36,0,0,0,0
725,87,0,0,0,0
728,78,1,3,0,0
730,89,1,3,0,0
732,78,1,2,0,0
733,56,0,0,0,0
736,28,0,0,0,0
745,54,1,6,0,0
748,47,2,4,0,0
749,91,1,6,0,0
750,75,1,3,0,0
753,35,0,0,0,0
755,42,0,0,0,0
757,45,1,3,0,0
764,93,0,0,0,0
769,50,1,2,0,0
772,32,0,0,0,0
773,37,0,0,0,0
776,38,0,0,0,0
777,32,0,0,0,0
781,45,1,4,0,0
784,57,1,1,0,0
785,80,1,3,0,0
789,87,0,0,0,0
791,65,0,0,0,0
794,80,0,0,0,0
795,82,0,0,0,0
796,48,1,1,0,0
882,85,1,2,0,0
961,61,1,2,0,0
965,37,1,1,0,0
996,49,1,7,0,1
1004,40,1,1,0,0
1006,67,1,3,0,0
1009,42,1,3,0,0
1043,45,2,2,0,0
1050,53,1,1,0,0
4000,42,0,0,0,0
5049,24,0,0,0,0
5062,28,0,0,0,0
5066,32,1,0,0,0
5067,47,1,0,0,0
5074,32,1,1,0,0
5079,27,1,2,0,0
5090,39,0,0,0,2
5109,58,1,1,0,0
5110,20,0,0,0,0
5112,28,1,1,0,0
5115,25,0,0,0,0
5134,21,0,0,0,0
5135,40,1,2,0,1
5153,26,0,0,0,0
5154,21,0,0,0,0
5157,29,0,0,0,0
5165,30,0,0,0,0
5168,32,0,0,0,0
5172,46,1,2,0,0
