Hhkey,RS,Wives,Age,MaizeHarvest,FieldAcres
16,1,1,41,15,4
21,1,1,26,40,4
29,3,1,27,6,4
44,7,1,37,10,6
57,2,1,29,60,6
17,3,1,36,15,7
12,4,1,47,25,8
27,2,1,28,0,8
31,1,1,15,25,8
64,5,1,35,45,8
53,7,1,42,20,10
60,6,1,47,15,10
69,2,1,31,10,10
23,7,1,36,30,12
39,0,1,23,60,12
43,3,1,28,12,12
63,0,1,33,30,12
13,1,1,29,25,13
61,1,1,24,25,14
62,0,1,29,35,14
10,1,1,27,30,15
24,9,1,44,70,15
4,4,1,29,16,16
45,2,1,31,0,16
50,1,1,25,0,19
7,5,1,38,25,20
22,4,1,36,10,20
34,8,1,39,20,20
54,10,1,40,88,20
33,7,1,42,8,24
9,4,1,31,30,27
55,7,1,42,25,36
1,6,1,33,18,40
52,7,1,41,20,40
28,2,1,25,20,42
47,2,1,34,6,60
66,3,1,36,80,60
8,4,1,43,25,109
75,7,1,47,15,120
