id,ego_age,ego_cattle,ego_land,ego_spouses,rs
5,120,2,0.400000006,2,5
13,35,4,1,1,6
23,35,9,2,1,4
24,45,7,0.800000012,1,6
27,55,6,1,1,5
28,20,0,0.400000006,0,0
29,27,0,0.400000006,0,0
30,46,20,6,1,6
33,40,4,1,1,5
36,40,3,0.400000006,1,5
37,30,4,2,1,6
41,30,3,1,1,1
43,20,4,0.5,0,0
46,77.5,0,0.5,0,6
50,32,0,0.400000006,1,1
51,25,1,0.400000006,1,2
52,75,2,1,1,5
54,25,2,0.899999976,1,0
56,50,3,1,1,3
57,22,0,0,0,0
58,19,0,0,0,0
66,35,4,0.5,1,3
67,22,0,0,0,0
71,70,2,1,1,6
74,42,3,0.5,1,5
76,37,11,1,1,5
77,19,0,0,0,0
79,20,0,0,0,0
81,45,5,3,1,7
82,45,10,2,1,5
84,18,0,0,0,0
86,75,10,1,2,3
87,25,3,1,1,2
90,19,1,0,0,0
92,26,0,0,0,0
93,18,3,1,0,0
97,20,1,1,1,0
98,22,3,1,0,0
101,23,8,1.5,1,3
108,35,3,0.5,1,4
109,35,1,1,1,3
114,35,3,2,2,3
117,40,4,0.5,2,2
118,50,6,2,1,8
120,21,3,0.5,1,1
121,50,4,2,2,5
123,55,2,0.5,1,5
124,40,4,1,1,5
126,60,4,1,1,5
127,40,4,1,1,8
129,30,3,1.5,1,3
131,35,5,1.25,1,6
132,35,4,3,1,7
136,20,0,0,0,0
140,18,0,0,0,0
142,24,1,1,0,0
145,20,1,0.5,1,1
150,50,2,1,1,6
152,20,0,0.5,0,0
153,18,0,0,0,0
154,19,10,2,0,0
155,20,0,0,0,0
156,24,0,0,1,0
158,18,2,1,0,0
161,28,4,1,1,2
162,60,2,1,1,3
164,35,6,1.25,1,4
165,35,2,1,1,4
170,25,3,1,0,0
178,25,3,0,0,0
180,22,15,2,0,0
181,35,3,1,1,4
182,40,4,1,2,6
183,23,5,1.5,1,2
187,30,2,1,1,5
188,20,0,0,0,0
189,50,3,1,1,3
190,22,0,0,0,0
193,42,12,3,1,7
194,40,10,3,1,7
195,110,1,1,2,4
196,40,15,2,1,4
197,45,7,1.5,2,5
198,45,15,2,2,7
199,35,4,1.5,1,5
