id,kidsgt5,wives,hec,cattle,Age
3,11,3,40,200,59
7,15,2,20,50,49
10,12,3,20,20,44
26,26,3,50,60,58
27,9,2,10,0,58
28,5,1,15,16,59
31,2,1,4,7,42
32,9,1,3,2,60
41,1,2,40,50,32
57,5,3,30,25,71
58,14,4,100,350,44
59,27,3,40,60,59
60,5,1,6,20,60
64,12,2,17,70,54
65,33,5,60,60,72
45,7,1,3,3,38
50,5,1,6,0,43
30,3,1,3,5,42
44,4,1,50,20,38
46,3,2,2,2,39
47,4,2,30,40,38
52,13,2,30,35,58
54,4,2,6,20,34
33,4,2,0,3,37
16,1,1,8,8,32
22,4,1,0,10,43
23,30,3,19,50,46
34,7,1,15,50,44
39,6,1,10,30,40
40,3,2,15,32,40
62,4,1,0,6,46
25,10,2,13,35,41
56,9,1,40,80,59
63,17,5,56,36,56
35,2,1,12,6,38
4,20,2,40,200,61
5,15,3,18,30,64
9,6,2,5,40,57
11,2,2,10,5,43
13,5,2,30,30,31
29,12,2,15,28,45
36,14,3,40,20,59
51,1,1,20,0,48
53,3,1,0,0,35
14,2,1,3,0,31
42,11,1,2,0,50
8,3,1,10,15,47
12,5,1,20,60,38
15,9,2,15,30,35
18,0,1,3,0,31
24,5,1,14,20,39
48,2,1,4,30,27
43,2,3,9,12,42
61,6,1,6,10,39
21,15,3,27,40,55
55,9,2,22,70,51
1,7,1,10,0,60
6,10,3,10,50,56
49,1,1,30,40,29
2,16,3,20,50,60
